id;oznaka_veza;vrsta;cijena_veza_po_satu;maksimalna_duljina;maksimalna_sirina;maksimalna_dubina
1;AS12S;PU;200;350;40;11
2;AD23D;PU;200;280;32;11
3;JGS2S;PU;100;200;30;9
4;LSLW2;PU;100;200;30;9
4;KFFG3;PU;90;150;30;7
6;LAE12;PU;90;150;28;6
7;FGKD1;PU;60;130;25;5
8;LDAEE;PU;60;130;25;5
9;JE2JF;PU;50;120;20;5
10;PFW12;PU;50;100;20;4
11;DK123;PU;50;100;20;4
12;DLGS1;PU;50;80;18;4
13;OQPR8;PU;50;80;18;4
14;PASRR;PU;40;80;18;3
15;RZQHD;PU;40;80;18;3
16;KD129;PU;40;70;18;3
17;DFS16;PU;40;60;15;3
18;GHTA1;PU;30;60;15;2
19;HTREW;PU;30;45;12;2
20;HRTE3;PU;30;40;12;1.svi
21;GFSSE;PU;100;90;8;3
22;FGHSE;PU;100;70;8;3
23;234TZ;PU;100;70;8;3
24;HGF17;PU;5;50;10;3
25;HGFF3;PU;5;50;10;3
26;RTHE7;PU;5;30;8;2
27;GSE23;PO;5;30;8;2
28;GHGFB;PO;5;25;7;2
29;HGFDR;PO;5;25;7;2
30;MFDSE;PO;3;10;5;2
31;FKOEW;PO;3;10;5;2
32;GHJHG;PO;3;10;5;2
33;HNETG;PO;3;8;3;2
34;MNBVR;PO;3;7;3;2
35;GSRME;PO;20;50;10;2
36;MPLTZ;PO;20;50;10;2
37;UOZJK;PO;20;50;10;2
38;HLOUK;PO;15;20;6;2
39;MJUKF;PO;15;20;6;2
40;MUKRE;PO;15;20;6;2
41;MJUKL;PO;10;15;5;2
42;NON76;PO;10;15;5;2
43;6U4RT;PO;10;15;5;2
44;H659T;OS;5;12;4;2
45;GJPI5;OS;5;4;;2:12
46;95OZT;OS;5;12;4;2
47;056I5;OS;2;7;4;2
48;9054I;OS;3;7;3;2
49;054IO;OS;3;7;3;2
50;694TO;OS;3;7;3;2
51;NERRW;OS;2;3;1.svi;
52;OS;2;5;3;1.svi;
53;RGWWR;OS;2;5:3:1.5;;
54;FMBER;OS;2;5;3;1.svi
55;MU724;OS;2;5;3;1.svi
56;JT453;OS;2;5;3;1.svi
57;OKNTR;OS;2;5;3;1.svi
58;NKBLE;OS;2;5;3;1.svi
59;NKGNW;OS;2;5;3;1.svi
5;KFFG4;PU;90;150;30;7
6;LAE13;PU;90;150;28;6
7;;PU;60;130;25;5
8;LDA2E;PU;60;130;25;5
;JE5JF;PU;50;120;20;5
10;PFW14;PU;50;100;20;4
11;DK124;PU;50;100;20;100
